대,선거구명,기호,정당명,성명,한자,성별,생년월일,연령,직업,학력,득표율
5,대구광역시,7,진보신당,조명래,趙明來,남,1964.04.24,46,정당인,경북대학교 정치외교학과 3학년 중퇴,10.2
5,인천광역시,1,한나라당,안상수,安相洙,남,1946.05.28,64,인천광역시장,서울대학교 대학원 경영학과 졸업,44.38
5,인천광역시,2,민주당,송영길,宋永吉,남,1963.03.21,47,변호사,연세대학교 경영학과 졸업,52.69
5,인천광역시,7,진보신당,김상하,金相河,남,1964.06.01,46,변호사,서울대학교 법과대학 공법학과 졸업,1.85
5,인천광역시,8,평화민주당,백석두,白石斗,남,1955.02.08,55,정당인,미기재,1.06
5,광주광역시,1,한나라당,정용화,鄭容和,남,1964.09.09,45,정당인,서울대학교 대학원 정치학 박사,14.22
5,광주광역시,2,민주당,강운태,姜雲太,남,1948.11.15,61,정치인,서울대학교 외교학과 졸업,56.73
5,광주광역시,5,민주노동당,장원섭,張元燮,남,1966.01.13,44,정당인,고려대학교 자연자원대학 농생물학과 3년 제적,7.53
5,광주광역시,7,진보신당,윤난실,尹蘭實,여,1965.12.23,44,정당인,광주교육대학 3학년 자퇴,5.89
5,광주광역시,8,국민참여당,정찬용,鄭燦龍,남,1951.06.09,58,정당인,서울대학교 문리과대학 언어학과 졸업,14.48
5,광주광역시,9,평화민주당,조홍규,趙洪奎,남,1943.10.17,66,정치인,고려대학교 정경대학 정치외교학과,1.12
5,대전광역시,1,한나라당,박성효,朴城孝,남,1955.02.20,55,대전광역시장,대전대학교대학원 졸업(행정학박사),28.5
5,대전광역시,2,민주당,김원웅,金元雄,남,1944.03.08,66,정당인,서울대학교 정치학과 졸업,23.28
5,대전광역시,3,자유선진당,염홍철,廉弘喆,남,1944.09.06,65,경남대학교 북한대학원 석좌교수,중앙대학교 대학원졸업(정치학박사),46.67
5,대전광역시,7,진보신당,김윤기,金潤起,남,1974.05.09,36,정당인,충남대학교 농학과 4년 중퇴,1.53
5,울산광역시,1,한나라당,박맹우,朴孟雨,남,1951.12.06,58,울산광역시장,동의대학교 대학원졸업(행정학박사),61.26
5,울산광역시,5,민주노동당,김창현,金昌鉉,남,1962.07.15,47,정당인,고려대학교 정책대학원 졸업(정치학석사),29.25
5,울산광역시,7,진보신당,노옥희,盧玉姬,여,1958.05.15,52,정당인,부산대학교 수학과 졸업,9.48
5,경기도,1,한나라당,김문수,金文洙,남,1951.08.27,58,경기도지사,서울대학교 경영대학 경영학과 졸,52.2
5,경기도,8,국민참여당,유시민,柳時敏,남,1959.07.28,50,정당인,서울대학교 사회과학대학 경제학과 졸업,47.79
5,강원도,1,한나라당,이계진,李季振,남,1946.11.23,63,정당인,고려대학교 국어국문학과 졸업,45.63
5,강원도,2,민주당,이광재,李光宰,남,1965.02.28,45,정당인,연세대학교 법학과 졸업,54.36
5,충청북도,1,한나라당,정우택,鄭宇澤,남,1953.02.18,57,공무원(충청북도지사),미국 하와이대학원 경제학3년 졸업(경제학 박사),45.91
5,충청북도,2,민주당,이시종,李始鍾,남,1947.04.18,63,정당인,서울대학교 문리과대학 정치학과 졸업,51.22
5,충청북도,7,진보신당,김백규,金伯奎,남,1955.12.28,54,정당인,충북대학교 법무대학원 졸업(법학석사),2.86
5,충청남도,1,한나라당,박해춘,朴海春,남,1948.05.25,62,정당인,연세대학교 수학과 졸업,17.79
5,충청남도,2,민주당,안희정,安熙正,남,1965.05.01,45,정당인,고려대학교 철학과 졸업,42.25
5,충청남도,3,자유선진당,박상돈,朴商敦,남,1949.09.03,60,정당인,서울대학교 행정대학원 졸업,39.94
5,전라북도,1,한나라당,정운천,鄭雲天,남,1954.04.10,56,한식재단이사장,원광대학교 행정대학원 행정학과 졸업(행정학석사),18.2
5,전라북도,2,민주당,김완주,金完柱,남,1946.05.25,64,정무직공무원(전라북도지사),서울대학교 행정대학원 행정학과 졸업,68.67
5,전라북도,5,민주노동당,하연호,河然鎬,남,1953.11.05,56,정당인,전북대학교 농과대학 농학과 졸업,6.3
5,전라북도,7,진보신당,염경석,廉京石,남,1960.08.05,49,정당인,전북대학교 법무대학원 석사과정 수료,4.28
5,전라북도,8,평화민주당,김대식,金大植,남,1955.07.22,54,정당인,연세대학교 정경대학원 정치학전공 석사과정 재학,2.52
5,전라남도,1,한나라당,김대식,金大植,남,1962.08.11,47,교수,일본 교토 오타니대학 대학원 문학박사,13.39
5,전라남도,2,민주당,박준영,朴晙瑩,남,1946.10.21,63,공무원(전라남도지사),성균관대학교 대학원 졸업(정치학박사),68.3
5,전라남도,5,민주노동당,박웅두,朴雄斗,남,1968.07.27,41,정당인,전남대학교 농학과 졸업,10.9
5,전라남도,7,평화민주당,김경재,金景梓,남,1942.11.03,67,정당인,서울대학교 정치학과 졸업,7.39
5,경상북도,1,한나라당,김관용,金寬容,남,1942.11.29,67,경상북도지사,영남대학교 행정대학원 졸업 (행정학석사),75.36
5,경상북도,2,민주당,홍의락,洪宜洛,남,1955.03.11,55,기업인,고려대학교 농과대학 농업경제학과 졸업,11.82
5,경상북도,5,민주노동당,윤병태,尹炳兌,남,1961.03.11,49,정당인(민주노동당경상북도당 위원장),영남대학교 대학원 박사학위과정(문화인류학과 사회인류학 전공) 수료,5.6
5,경상북도,7,국민참여당,유성찬,劉聖贊,남,1965.10.24,44,정당인 (국민참여당경북도당 위원장),고려대학교 공과대학 사회환경시스템공학과 졸업,7.2
5,경상남도,1,한나라당,이달곤,李達坤,남,1953.09.11,56,정당인,미국 하버드대학 정책학박사,46.49
5,경상남도,7,무소속,김두관,金斗官,남,1959.04.10,51,정치인,동아대학교 정치외교학과 졸업,53.5
5,제주특별자치도,2,민주당,고희범,高喜範,남,1953.01.21,57,정당인,한국외국어대학교 이탈리아어과 졸업,18.03
5,제주특별자치도,8,무소속,현명관,玄明官,남,1941.09.02,68,무직,서울대학교 법과대학 법학과졸업,40.55
5,제주특별자치도,9,무소속,우근민,禹瑾敏,남,1942.11.04,67,정치인,경희대학교 경영행정대학원(행정학석사) 졸업,41.4
6,서울특별시,1,새누리당,정몽준,鄭夢準,남,1951.10.17,62,아산사회복지재단 이사장,서울대학교 경제학과 졸업,43.02
6,서울특별시,2,새정치민주연합,박원순,朴元淳,남,1956.03.26,58,서울특별시장,단국대학교 문리과대학 사학과 졸업(문학사),56.12
6,서울특별시,3,통합진보당,정태흥,鄭泰興,남,1971.06.25,42,정당인,고려대학교 법과대학 법학과 졸업,0.48
6,서울특별시,4,새정치당,홍정식,洪貞植,남,1950.06.08,63,시민단체 활빈단 대표,연세대학교 행정대학원 졸업(행정학 석사),0.35
6,부산광역시,1,새누리당,서병수,徐秉洙,남,1952.01.09,62,정당인,북일리노이대학교 박사과정 졸업(1983.9. ~ 1987.12. 경제학 박사),50.65
6,부산광역시,4,무소속,오거돈,吳巨敦,남,1948.10.28,65,한국해양대학교 석좌교수,서울대학교 철학과 졸업,49.34
6,대구광역시,1,새누리당,권영진,權泳臻,남,1962.12.10,51,정당인,고려대학교 일반대학원 정치외교학과 졸업(정치학 박사),55.95
6,대구광역시,2,새정치민주연합,김부겸,金富謙,남,1958.01.21,56,정당인,서울대학교 사회과학대학 정치학과 졸업,40.33
6,대구광역시,3,통합진보당,송영우,宋映雨,남,1973.09.17,40,정당인,경북대학교 사회학과 졸업(문학사),1.04
6,대구광역시,4,정의당,이원준,李源晙,남,1970.10.15,43,정당인,경북대학교 인문대학 한문학과 졸업,1.24
6,대구광역시,5,무소속,이정숙,李定淑,여,1967.02.06,47,계명대학교 강사,파리 소르본느대학원 언어학 DEA(준)박사(1996.9~1999.9),1.42
6,인천광역시,1,새누리당,유정복,劉正福,남,1957.06.16,56,정당인,연세대학교 대학원 정치학과 박사과정 수료,49.95
6,인천광역시,2,새정치민주연합,송영길,宋永吉,남,1963.03.21,51,인천광역시장,연세대학교 경영학과 졸업,48.2
6,인천광역시,3,통합진보당,신창현,申昌?,남,1969.09.03,44,정당인,고려대학교 언어과학과 3년 제적,1.83
6,광주광역시,1,새누리당,이정재,李正宰,남,1946.12.03,67,정당인,조선대학교 대학원 졸업(이학박사),3.4
6,광주광역시,2,새정치민주연합,윤장현,尹壯鉉,남,1949.04.26,65,정당인,조선대학교 대학원 의학박사,57.85
6,광주광역시,3,통합진보당,윤민호,尹敏皓,남,1970.09.09,43,정당인,조선대학교 자연과학대학 환경학과 제적(1990.03.02.~1997.09.24.),3.34
6,광주광역시,4,노동당,이병훈,李昞勳,남,1970.04.20,44,노무사,미기재,1.06
6,광주광역시,5,무소속,강운태,姜雲太,남,1948.11.15,65,광주광역시장,서울대학교 외교학과 졸업,31.77
6,광주광역시,7,무소속,이병완,李炳浣,남,1954.11.11,59,정치인,고려대학교 정경대학 신문방송학과 졸업,2.56
6,대전광역시,1,새누리당,박성효,朴城孝,남,1955.02.20,59,정당인,대전대학교 대학원 졸업(행정학 박사),46.76
6,대전광역시,2,새정치민주연합,권선택,權善宅,남,1955.12.01,58,정당인,대전대학교대학원 행정학과 졸업(행정학 박사),50.07
6,대전광역시,3,통합진보당,김창근,金昌根,남,1955.05.07,59,정당인,금산고등학교 졸업,1.39
6,대전광역시,4,정의당,한창민,韓昌旼,남,1973.07.22,40,정당인,공주대학교 교육대학원 졸업(교육학 석사),1.76
6,울산광역시,1,새누리당,김기현,金起炫,남,1959.02.21,55,정치인,서울대학교 법학과 졸업,65.42
6,울산광역시,4,정의당,조승수,趙承洙,남,1963.01.22,51,정당인,동국대학교 대학원 북한학과 박사과정 수료(4학기),26.43
6,울산광역시,5,노동당,이갑용,李甲用,남,1959.07.27,54,노동자,동해중학교 졸업,8.13
6,세종특별자치시,1,새누리당,유한식,兪漢植,남,1949.06.20,64,공무원,홍익대학교 산업대학원 졸업 (경영학석사),42.21
6,세종특별자치시,2,새정치민주연합,이춘희,李春熙,남,1955.12.06,58,정당인,한양대학교 도시대학원 도시개발경영학과 졸업(도시학 박사),57.78
6,경기도,1,새누리당,남경필,南景弼,남,1965.01.20,49,정당인,美 예일대학교 경영대학원 졸업(경영학 석사,
6,경기도,2,새정치민주연합,김진표,金振杓,남,1947.05.04,67,정당인,서울대학교 법과대학 법학과 졸업,49.56
6,강원도,1,새누리당,최흥집,崔興集,남,1951.08.20,62,정당인,강원대학교 경영행정대학원 행정학과 졸업(행정학 석사),48.17
6,강원도,2,새정치민주연합,최문순,崔文洵,남,1956.02.04,58,공무원,서울대학교 대학원 영어영문학과 졸업(문학석사),49.76
6,강원도,3,통합진보당,이승재,李承宰,남,1969.09.11,44,정당인,강원대학교 사범대학 수학교육과 졸업,2.05
6,충청북도,1,새누리당,윤진식,尹鎭植,남,1946.03.04,68,정당인,건국대학교 대학원 졸업(경제학박사),47.68
6,충청북도,2,새정치민주연합,이시종,李始鍾,남,1947.04.18,67,충청북도지사,서울대학교 문리과대학 정치학과 졸업,49.75
6,충청북도,3,통합진보당,신장호,申璋鎬,남,1968.05.16,46,정당인,경희대학교 행정학과 졸업,2.56
6,충청남도,1,새누리당,정진석,鄭鎭碩,남,1960.09.04,53,정당인,고려대학교 정치외교학과 졸업,43.95
6,충청남도,2,새정치민주연합,안희정,安熙正,남,1965.05.01,49,충청남도지사,고려대학교 철학과 졸업,52.21
6,충청남도,4,무소속,김기문,金基文,남,1969.01.16,45,(일반)행정사,청운대학교 산업기술경영대학원 관광통상경영학과 졸업(석사),3.83
6,전라북도,1,새누리당,박철곤,朴鐵坤,남,1952.05.30,62,북한 이탈주민 미래희망센터 회장,전주대학교 일반대학원 졸업 (법학박사),20.45
6,전라북도,2,새정치민주연합,송하진,宋河珍,남,1952.04.29,62,정당인,고려대학교 대학원 졸업(행정학 박사),69.23
6,전라북도,3,통합진보당,이광석,李光石,남,1951.04.01,63,농민,군산고등학교 졸업,10.31
6,전라남도,1,새누리당,이중효,李重孝,남,1960.12.28,53,가천대학교 겸임교수,조선대학교 대학원 졸업(법학박사),9.55
6,전라남도,2,새정치민주연합,이낙연,李洛淵,남,1952.12.20,61,정당인,서울대학교 법과대학 법학과 졸업,77.96
6,전라남도,3,통합진보당,이성수,李城秀,남,1969.04.28,45,노동자,중앙대학교 정치외교학과 졸업,12.47
6,경상북도,1,새누리당,김관용,金寬容,남,1942.11.29,71,공무원(경상북도지사),영남대학교 행정대학원 졸업[행정학석사(자치행정)],77.73
6,경상북도,2,새정치민주연합,오중기,吳仲基,남,1967.07.23,46,정당인,영남대학교 문과대학 철학과 졸업,14.93
6,경상북도,3,통합진보당,윤병태,尹炳兌,남,1961.03.11,53,정당인,영남대학교 대학원 박사과정 수료,2.63
6,경상북도,4,정의당,박창호,朴唱鎬,남,1966.06.01,48,정당인,위덕대학교 사회복지학과 졸업,4.69
6,경상남도,1,새누리당,홍준표,洪準杓,남,1954.12.05,59,공무원,고려대학교 법과대학 행정학과 졸업,58.85
6,경상남도,2,새정치민주연합,김경수,金慶洙,남,1967.12.01,46,정당인,서울대학교 인류학과 졸업,36.05
6,경상남도,3,통합진보당,강병기,姜炳基,남,1960.09.15,53,정당인,부산대학교 공과대학 기계공학과 졸업,5.09
6,제주특별자치도,1,새누리당,원희룡,元喜龍,남,1964.02.14,50,정당인,서울대학교 법과대학 공법학과 졸업,59.97
6,제주특별자치도,2,새정치민주연합,신구범,愼久範,남,1942.02.02,72,농업,한국방송통신대학교 법학과 3학년 재학중,34.53
6,제주특별자치도,3,통합진보당,고승완,高承完,남,1964.08.22,49,농업,국제문화대학원대학교 문예창작교육 문학 석사,4.23
6,제주특별자치도,4,새정치당,주종근,朱鐘根,남,1947.02.10,67,종교인,군산상업고등학교 졸,1.26
